GEOID,NAME,total_pop,nonlatine,nlwhite,nlblack,nlasian,latine,lwhite,lblack,lasian,tpop_nat,nat_nat,nat_noncit,medhhinc,medrent,total_pctincrent,pctincrent35_to_39.9,pctincrent40_to_49.9,pctincrent50_ormore,total_ipop,hh_inet,total_hh_poverty,hh_under_0.5_poverty,hh_0.5_to_0.99_poverty,hh_1_to_1.24_poverty,hh_1.25_to_1.49_poverty,hh_1.5_to_1.84_poverty,total_hh,pct_nlblack,pct_nlwhite,pct_nlasian,pct_latine,pct_lblack,pct_lwhite,pct_lasian,pct_185pov,pct_incrent35,pct_inetaccess,"comcolor <- ifelse(pct_nlwhite < 0.4, 1, 0)",pct_nonnat,pct_noncit,geometry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51013101603,"Census Tract 1016.03, Arlington County, Virginia",3939,3642,2581,217,698,297,243,0,0,3939,483,521,125417,2312,1426,71,124,114,2343,2245,3909,282,32,29,21,25,2563,0.055090124,0.655242447,0.177202336,0.075399848,0,0.061690784,0,0.091327705,0.216690042,0.958173282,0,0.254887027,0.132267073,list(list(c(-77.082059,-77.080287,-77.077047,-77.073596,-77.070784,-77.068477,-77.067809,-77.068305,-77.068798,-77.070802,-77.073132,-77.073857,-77.076731,-77.078167,-77.080273,-77.081121,-77.08187,-77.082059,38.896353,38.89693,38.898256,38.898432,38.898229,38.897154,38.893279,38.893849,38.894348,38.895091,38.894819,38.894802,38.894388,38.894089,38.893243,38.894611,38.895172, 38.896353))),,,,,,,,
51013101701,"Census Tract 1017.01, Arlington County, Virginia",4916,4059,3186,300,426,857,450,37,0,4916,326,575,121462,2303,2225,107,211,155,2539,2425,4475,155,196,234,121,79,2723,0.061025224,0.648087876,0.086655818,0.174328723,0.007526444,0.091537836,0,0.131620112,0.21258427,0.955100433,0,0.183279089,0.116965012,list(list(c(-77.083988,-77.080273,-77.079261,-77.078927,-77.077924,-77.080033,-77.081075,-77.083068,-77.083238,-77.083515,-77.083846,-77.083988,38.891737,38.893243,38.89186,38.890119,38.88961,38.887675,38.887112,38.886479,38.886686,38.888227,38.890826, 38.891737))),,,,,,,,,,,,,,,,,,,,
51013101702,"Census Tract 1017.02, Arlington County, Virginia",5384,4741,3086,185,1182,643,587,0,17,5384,925,1100,95352,1863,2413,178,46,409,3460,3154,5374,247,94,132,14,112,4127,0.03436107,0.573179792,0.219539376,0.119427935,0,0.109026746,0.003157504,0.093970971,0.262329051,0.911560694,0,0.376114413,0.204309064,list(list(c(-77.080273,-77.078167,-77.076731,-77.073857,-77.073132,-77.070802,-77.068798,-77.068305,-77.068094,-77.071482,-77.073168,-77.075127,-77.076654,-77.077924,-77.078927,-77.079261,-77.080273,38.893243,38.894089,38.894388,38.894802,38.894819,38.895091,38.894348,38.893849,38.890415,38.89195,38.89185,38.891158,38.890552,38.88961,38.890119,38.89186, 38.893243))),,,,,,,,,,
51013101703,"Census Tract 1017.03, Arlington County, Virginia",2291,2148,1658,257,194,143,132,0,0,2291,324,206,104773,1893,881,93,21,168,1406,1353,2291,137,138,70,11,35,1604,0.112178088,0.72370144,0.084679179,0.062418158,0,0.057616761,0,0.110432126,0.320090806,0.96230441,0,0.231340026,0.089917067,list(list(c(-77.080033,-77.077924,-77.076654,-77.075127,-77.073168,-77.071482,-77.071445,-77.071752,-77.076337,-77.081075,-77.080033,38.887675,38.88961,38.890552,38.891158,38.89185,38.89195,38.888654,38.887636,38.887565,38.887112, 38.887675))),,,,,,,,,,,,,,,,,,,,,,
51013101801,"Census Tract 1018.01, Arlington County, Virginia",3664,3396,2556,93,573,268,244,0,0,3664,425,294,158656,2726,1389,64,59,83,1999,1921,3664,83,30,29,0,31,2120,0.025382096,0.697598253,0.156386463,0.073144105,0,0.066593886,0,0.039028384,0.148308135,0.96098049,0,0.196233624,0.080240175,list(list(c(-77.095004,-77.093355,-77.090686,-77.090011,-77.08983,-77.092996,-77.091605,-77.09448,-77.095004,38.887432,38.888628,38.88963,38.88646,38.884562,38.88452,38.880873,38.88101, 38.887432))),,,,,,,,,,,,,,,,,,,,,,,,,,
51013101802,"Census Tract 1018.02, Arlington County, Virginia",6987,5579,4291,414,588,1408,814,64,24,6987,702,826,130242,2275,2930,211,54,315,3614,3552,6987,392,139,214,79,94,3746,0.059252898,0.614140547,0.08415629,0.201517103,0.009159868,0.116502075,0.003434951,0.111492772,0.197952218,0.982844494,0,0.218691856,0.118219551,list(list(c(-77.090686,-77.088653,-77.087348,-77.086145,-77.085816,-77.083988,-77.083846,-77.083515,-77.083238,-77.083068,-77.083702,-77.084574,-77.085648,-77.087748,-77.08983,-77.090011,-77.090686,38.88963,38.890415,38.890877,38.891096,38.89123,38.891737,38.890826,38.888227,38.886686,38.886479,38.886073,38.884749,38.884613,38.884615,38.884562,38.88646, 38.88963))),,,,,,,,,,
51013101803,"Census Tract 1018.03, Arlington County, Virginia",4555,4117,3409,163,387,438,108,41,0,4555,476,658,90282,1693,1644,128,101,173,2339,2179,4555,257,107,58,122,114,2389,0.035784852,0.748408342,0.084961581,0.096158068,0.009001098,0.023710209,0,0.120965971,0.244525547,0.931594699,0,0.24895719,0.144456641,list(list(c(-77.09448,-77.091605,-77.092996,-77.08983,-77.087748,-77.085648,-77.084574,-77.084701,-77.084138,-77.083279,-77.083666,-77.083762,-77.084454,-77.08704,-77.089385,-77.091943,-77.09441,-77.09448,38.88101,38.880873,38.88452,38.884562,38.884615,38.884613,38.884749,38.88384,38.881237,38.877096,38.875368,38.87526,38.87476,38.874001,38.873429,38.872785,38.878924, 38.88101))),,,,,,,,
51013101900,"Census Tract 1019, Arlington County, Virginia",3287,3147,2859,44,127,140,40,0,0,3287,143,227,169167,2136,430,10,0,38,1234,1194,3252,79,79,23,8,33,1251,0.013386066,0.869790082,0.038637055,0.042592029,0,0.012169151,0,0.04397294,0.111627907,0.967585089,0,0.112564649,0.069059933,list(list(c(-77.10392,-77.102231,-77.102706,-77.099723,-77.099153,-77.098915,-77.097152,-77.095004,-77.09448,-77.09441,-77.091943,-77.100625,-77.100926,-77.100398,-77.103752,-77.10392,38.87902,38.879329,38.881935,38.883424,38.883972,38.884179,38.885869,38.887432,38.88101,38.878924,38.872785,38.870614,38.870856,38.871443,38.876966, 38.87902))),,,,,,,,,,,,
51013102001,"Census Tract 1020.01, Arlington County, Virginia",3007,1977,1258,235,349,1030,212,0,11,3007,369,626,84406,1684,1060,53,81,168,1303,988,3007,169,174,20,359,96,1384,0.078150981,0.418357167,0.116062521,0.342534087,0,0.070502162,0.003658131,0.214166944,0.28490566,0.758250192,0,0.330894579,0.208180911,list(list(c(-77.113565,-77.112892,-77.11122,-77.10954,-77.107869,-77.108238,-77.107446,-77.108137,-77.10851,-77.109559,-77.111202,-77.111794,-77.113424,-77.113565,38.876286,38.876849,38.878275,38.877355,38.877551,38.876176,38.875535,38.87496,38.873912,38.872479,38.873302,38.873598,38.873759, 38.876286))),,,,,,,,,,,,,,,,
51013102002,"Census Tract 1020.02, Arlington County, Virginia",1414,1197,836,91,196,217,163,0,0,1414,110,279,82083,1811,518,51,57,82,644,588,1412,68,15,175,57,62,714,0.064356436,0.591230552,0.138613861,0.153465347,0,0.115275813,0,0.256373938,0.366795367,0.913043478,0,0.275106082,0.197312588,list(list(c(-77.107869,-77.107838,-77.106807,-77.10606,-77.102706,-77.102231,-77.10392,-77.103752,-77.10514,-77.107446,-77.108238,-77.107869,38.877551,38.877827,38.877702,38.880145,38.881935,38.879329,38.87902,38.876966,38.876627,38.875535,38.876176, 38.877551))),,,,,,,,,,,,,,,,,,,,
