geoid,name,total_pop,nonlatine,nlwhite,nlblack,nlasian,latine,lwhite,lblack,lasian,tpop_nat,nat_nat,nat_noncit,medhhinc,medrent,total_pctincrent,pctincrent35_to_399,pctincrent40_to_499,pctincrent50_ormore,total_ipop,hh_inet,total_hh_poverty,hh_under_05_poverty,hh_05_to_099_poverty,hh_1_to_124_poverty,hh_125_to_149_poverty,hh_15_to_184_poverty,total_hh,pct_nlblack,pct_nlwhite,pct_nlasian,pct_latine,pct_lblack,pct_lwhite,pct_lasian,pct_185pov,pct_incrent35,pct_inetaccess,comcolorifelsepct_nlwhite0410,pct_nonnat,pct_noncit
51013102002,"Census Tract 1020.02, Arlington County, Virginia",1414,1197,836,91,196,217,163,0,0,1414,110,279,82083,1811,518,51,57,82,644,588,1412,68,15,175,57,62,714,.0643564356435644,.591230551626591,.138613861386139,.153465346534653,0,.115275813295615,0,.256373937677054,.366795366795367,.91304347826087,0,.275106082036775,.197312588401697
51013102003,"Census Tract 1020.03, Arlington County, Virginia",4041,2976,1923,629,345,1065,610,0,0,4041,381,902,37332,1419,2088,60,125,737,2539,1632,4041,373,266,396,328,181,2737,.155654540955209,.475872308834447,.0853749072011878,.26354862657758,0,.150952734471665,0,.316258351893096,.441570881226054,.6427727451752659,0,.317495669388765,.223212076218758
51013102100,"Census Tract 1021, Arlington County, Virginia",2394,2251,1643,125,382,143,117,0,0,2394,478,66,130461,458,402,5,13,60,951,833,2271,83,264,17,5,61,1003,.0522138680033417,.686299081035923,.159565580618212,.0597326649958229,0,.0488721804511278,0,.0730955526199912,.194029850746269,.875920084121977,0,.227234753550543,.0275689223057644
51013102200,"Census Tract 1022, Arlington County, Virginia",8220,4675,1132,2515,667,3545,2739,115,0,8220,2064,1778,51156,1578,2321,0,120,1139,3245,2357,8175,582,941,559,477,819,3300,.305961070559611,.137712895377129,.0811435523114355,.431265206812652,.0139902676399027,.333211678832117,0,.298103975535168,.542438604049978,.726348228043143,1,.467396593673966,.216301703163017
51013102301,"Census Tract 1023.01, Arlington County, Virginia",1433,1308,1029,107,106,125,77,0,0,1433,175,37,141806,1592,125,8,0,0,593,554,1433,14,28,0,0,0,608,.0746685275645499,.718073970690858,.0739706908583392,.0872295882763433,0,.0537334263782275,0,.0097697138869504,.064,.934232715008432,0,.147941381716678,.0258199581297976
51013102302,"Census Tract 1023.02, Arlington County, Virginia",4275,3048,2210,374,336,1227,449,0,26,4275,556,583,141033,1783,629,11,75,271,1505,1372,4275,222,226,8,78,332,1531,.0874853801169591,.516959064327485,.0785964912280702,.287017543859649,0,.105029239766082,.0060818713450292,.149707602339181,.567567567567568,.911627906976744,0,.266432748538012,.136374269005848
51013102400,"Census Tract 1024, Arlington County, Virginia",3349,2778,2077,383,274,571,311,0,0,3349,569,284,97578,1647,795,16,92,181,1517,1351,3349,69,73,137,101,73,1643,.114362496267543,.620185129889519,.0818154673036727,.170498656315318,0,.0928635413556285,0,.113466706479546,.363522012578616,.890573500329598,0,.254702896386981,.0848014332636608
51013102500,"Census Tract 1025, Arlington County, Virginia",5687,4596,3092,845,443,1091,997,18,0,5687,757,461,121500,1961,1902,46,65,162,2556,2470,5687,151,63,37,0,129,2685,.148584490944259,.54369614911201,.0778969579743274,.191841040970635,.0031651134165641,.1753121153508,0,.0557411640583788,.143533123028391,.966353677621283,0,.214172674520837,.0810620713908915
51013102600,"Census Tract 1026, Arlington County, Virginia",3684,2547,1658,501,270,1137,731,0,0,3684,684,727,98281,1713,712,18,64,120,1475,1328,3684,88,59,100,96,210,1481,.13599348534202,.450054288816504,.0732899022801303,.308631921824104,0,.19842562432139,0,.134093376764387,.283707865168539,.900338983050847,0,.383007600434311,.197339847991314
51013102701,"Census Tract 1027.01, Arlington County, Virginia",4135,2816,533,1285,828,1319,542,20,0,4135,1056,1515,54482,1203,1481,111,98,301,1551,1143,4080,212,236,360,119,550,1653,.310761789600967,.128899637243047,.200241837968561,.318984280532044,.0048367593712213,.131076178960097,0,.304166666666667,.344361917623228,.736943907156673,1,.621765417170496,.366384522370012
51013102702,"Census Tract 1027.02, Arlington County, Virginia",2062,1375,961,101,282,687,232,6,0,2062,387,289,122850,1583,312,28,52,27,821,730,2041,42,34,128,95,122,888,.0489815712900097,.466052376333657,.136760426770126,.333171677982541,.002909796314258,.112512124151309,0,.189612934835865,.342948717948718,.889159561510353,0,.327837051406402,.14015518913676
51013102801,"Census Tract 1028.01, Arlington County, Virginia",8455,5527,2564,1163,1532,2928,1639,37,0,8455,1423,2023,96759,1760,2011,239,107,464,3594,3104,8443,372,152,239,36,544,3664,.137551744529864,.303252513305736,.181194559432289,.346303962152572,.0043761088113542,.193849793021881,0,.141063602984721,.402784684236698,.863661658319421,1,.407569485511532,.23926670609107
51013102802,"Census Tract 1028.02, Arlington County, Virginia",1383,1128,962,75,43,255,243,0,0,1383,177,109,132292,2569,100,4,27,3,495,426,1383,8,4,0,27,94,525,.0542299349240781,.695589298626175,.0310918293564714,.184381778741866,0,.175704989154013,0,.0932754880694143,.34,.860606060606061,0,.206796818510484,.0788141720896602
51013102901,"Census Tract 1029.01, Arlington County, Virginia",2918,2566,2339,87,46,352,251,22,0,2918,268,83,117358,1938,560,11,33,52,1659,1626,2918,16,39,131,63,9,1742,.0298149417409184,.801576422206991,.0157642220699109,.120630568882796,.0075394105551748,.0860178204249486,0,.0750514050719671,.171428571428571,.980108499095841,0,.120287868403016,.0284441398217957
51013102902,"Census Tract 1029.02, Arlington County, Virginia",4275,3533,2792,285,186,742,540,0,0,4275,425,701,108048,1991,1501,140,113,209,2421,2263,4263,26,55,0,72,134,2763,.0666666666666667,.653099415204678,.0435087719298246,.173567251461988,0,.126315789473684,0,.054421768707483,.307794803464357,.934737711689385,0,.263391812865497,.163976608187134
51013103000,"Census Tract 1030, Arlington County, Virginia",3446,3233,2914,35,188,213,162,0,0,3446,90,187,149926,2447,445,10,34,43,1713,1624,3446,32,10,41,51,155,1776,.01015670342426,.845618107951248,.0545560069645966,.0618107951247824,0,.0470110272780035,0,.0809634358676727,.195505617977528,.9480443666082899,0,.0803830528148578,.0542658154381892
