objectid,location_name,location_address,address_line__2,city,state,zip_code,county,regionsize,matchscore,latitude,longitude,matchtype,location_type,accepts_snap,organization,co_sponsor,type,frequency,day,times,year_round_or_dates,description,eligibility_requirements,eligibility_requirement,no_photo_id_required,no_registration_required,restricted_access_only_members_o,age_restrictions_for_children_or,age_restrictions_for_seniors_onl,income_maximum_for_eligibility,delivery_available,prepared_meals,grocery_items,fresh_produce,languages_spoken_other_than_engl,other_services_provided_diapers,other_services_provided_baby_for,other_services_provided_financia,other_services_provided_clothing,other_services_provided,metro,bus,store_type,loctype_fresh
21,Barcroft Elementary School,625 S. Wakefield St.,,Arlington,VA,22204,ARLINGTON,20742.229,99,38.86190795898438,-77.10744476318359,Relaxed,Charitable food-site,0,Arlington Public Schools,NA,School meals,3 times weekly,"Mon/Wed/Fri, July 7 until school starts",11 AM - 12 PM,July 7 until school starts,"Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.",Child under 18,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,NA,"ART 41,72; Metrobus 16A/C/E/G/H, 22A",School,Charitable food-site with fresh produce
22,Barrett Elementary School,4401 N. Henderson Rd.,,Arlington,VA,22203,ARLINGTON,19912.406,100,38.87302017211914,-77.11241149902344,Exact,Charitable food-site,0,Arlington Public Schools,NA,School meals,3 times weekly,"Mon/Wed/Fri, July 7 until school starts",11 AM - 12 PM,July 7 until school starts,"Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.",Child under 18,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,NA,"ART 41; Metrobus 4B, 10B, 22A, 22A/B,23T, 25B",School,Charitable food-site with fresh produce
23,Campbell Elementary School,737 S. Carlin Springs Rd.,,Arlington,VA,22204,ARLINGTON,34321.418,99,38.85836029052734,-77.12549591064453,Relaxed,Charitable food-site,0,Arlington Public Schools,NA,School meals,3 times weekly,"Mon/Wed/Fri, July 7 until school starts",11 AM - 12 PM,July 7 until school starts,"Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.",Child under 18,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,NA,"ART 41, 45; Metrobus 16A/C/E/G, 25B, 28A",School,Charitable food-site with fresh produce
24,Dr. Charles R. Drew Elementary School,3500 South 23rd St.,,Arlington,VA,22206,ARLINGTON,2234.0547,99.349113,38.8489990234375,-77.08574676513672,Relaxed,Charitable food-site,0,Arlington Public Schools,NA,School meals,3 times weekly,"Mon/Wed/Fri, July 7 until school starts",11 AM - 12 PM,July 7 until school starts,"Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.",Child under 18,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,NA,"ART 84, 87; Metrobus 10B, 23 A/B/T",School,Charitable food-site with fresh produce
25,Glebe Elementary School,1770 N. Glebe Rd.,,Arlington,VA,22207,ARLINGTON,28346.348,100,38.89237976074219,-77.12142944335938,Exact,Charitable food-site,0,Arlington Public Schools,NA,School meals,3 times weekly,"Mon/Wed/Fri, July 7 until school starts",11 AM - 12 PM,July 7 until school starts,"Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.",Child under 18,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,NA,"ART 52, 55, 72; Metrobus 23A/T",School,Charitable food-site with fresh produce
26,Gunston Middle School,2700 S. Lang St.,,Arlington,VA,22206,ARLINGTON,79579.867,99,38.84795761108398,-77.06873321533203,Relaxed,Charitable food-site,0,Arlington Public Schools,NA,School meals,3 times weekly,"Mon/Wed/Fri, July 7 until school starts",11 AM - 12 PM,July 7 until school starts,"Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.",Child under 18,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,NA,"ART 87; Metrobus 10A/B, 23A/B",School,Charitable food-site with fresh produce
27,Hoffman-Boston Elementary School,1415 S. Queen St.,,Arlington,VA,22204,ARLINGTON,1718.7273,100,38.86153793334961,-77.07253265380859,Exact,Charitable food-site,0,Arlington Public Schools,NA,School meals,3 times weekly,"Mon/Wed/Fri, July 7 until school starts",11 AM - 12 PM,July 7 until school starts,"Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.",Child under 18,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,NA,"ART 42; Metrobus 16A/C/E/G,",School,Charitable food-site with fresh produce
28,Kenmore Middle School,200 S. Carlin Springs Rd.,,Arlington,VA,22204,ARLINGTON,2056.96,100,38.86449813842773,-77.12881469726563,Exact,Charitable food-site,0,Arlington Public Schools,NA,School meals,3 times weekly,"Mon/Wed/Fri, July 7 until school starts",11 AM - 12 PM,July 7 until school starts,"Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.",Child under 18,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,NA,"Art 75; Metrobus 4B, 25B",School,Charitable food-site with fresh produce
29,Randolph Elementary School,1306 S. Quincy St.,,Arlington,VA,22204,ARLINGTON,3487.4409,100,38.85696411132813,-77.09796142578125,Exact,Charitable food-site,0,Arlington Public Schools,NA,School meals,3 times weekly,"Mon/Wed/Fri, July 7 until school starts",11 AM - 12 PM,July 7 until school starts,"Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.",Child under 18,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,NA,"ART 41, 45, 72, 84; Metrobus 16A/C/E/G/H, 22A/B",School,Charitable food-site with fresh produce
30,The Heights,1601 Wilson Blvd.,,Arlington,VA,22209,ARLINGTON,10382.041,100,38.89483261108398,-77.07761383056641,Exact,Charitable food-site,0,Arlington Public Schools,NA,School meals,3 times weekly,"Mon/Wed/Fri, July 7 until school starts",11 AM - 12 PM,July 7 until school starts,"Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.",Child under 18,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,Rosslyn/Courthouse,"ART 41, 45, 55, 77; Metrobus 4B, 5A, 38B",Apartments,Charitable food-site with fresh produce
31,Yorktown High School,5200 Yorktown Blvd.,,Arlington,VA,22207,ARLINGTON,7224.0083,97.928993,38.90346908569336,-77.13942718505859,Relaxed,Charitable food-site,0,Arlington Public Schools,NA,School meals,3 times weekly,"Mon/Wed/Fri, July 7 until school starts",11 AM - 12 PM,July 7 until school starts,"Two breakfasts and two lunches are provided, including one hot lunch for children under 18. All meals include milk, fruits or vegetables and whole grains. Pickup meals at the tables outside the school entrance.",Child under 18,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,NA,ART 52,School,Charitable food-site with fresh produce
