"GEOID","NAME","total_pop","nonlatine","nlwhite","nlblack","nlasian","latine","lwhite","lblack","lasian","tpop_nat","nat_nat","nat_noncit","medhhinc","medrent","total_pctincrent","pctincrent35_to_39.9","pctincrent40_to_49.9","pctincrent50_ormore","total_ipop","hh_inet","total_hh_poverty","hh_under_0.5_poverty","hh_0.5_to_0.99_poverty","hh_1_to_1.24_poverty","hh_1.25_to_1.49_poverty","hh_1.5_to_1.84_poverty","total_hh","pct_nlblack","pct_nlwhite","pct_nlasian","pct_latine","pct_lblack","pct_lwhite","pct_lasian","pct_185pov","pct_incrent35","pct_inetaccess","comcolor <- ifelse(pct_nlwhite < 0.4, 1, 0)","pct_nonnat","pct_noncit"
"51013102100","Census Tract 1021, Arlington County, Virginia",2394,2251,1643,125,382,143,117,0,0,2394,478,66,130461,458,402,5,13,60,951,833,2271,83,264,17,5,61,1003,0.0522138680033417,0.686299081035923,0.159565580618212,0.0597326649958229,0,0.0488721804511278,0,0.0730955526199912,0.194029850746269,0.875920084121977,0,0.227234753550543,0.0275689223057644
"51013102200","Census Tract 1022, Arlington County, Virginia",8220,4675,1132,2515,667,3545,2739,115,0,8220,2064,1778,51156,1578,2321,0,120,1139,3245,2357,8175,582,941,559,477,819,3300,0.305961070559611,0.137712895377129,0.0811435523114355,0.431265206812652,0.0139902676399027,0.333211678832117,0,0.298103975535168,0.542438604049978,0.726348228043143,1,0.467396593673966,0.216301703163017
"51013102301","Census Tract 1023.01, Arlington County, Virginia",1433,1308,1029,107,106,125,77,0,0,1433,175,37,141806,1592,125,8,0,0,593,554,1433,14,28,0,0,0,608,0.0746685275645499,0.718073970690858,0.0739706908583392,0.0872295882763433,0,0.0537334263782275,0,0.00976971388695045,0.064,0.934232715008432,0,0.147941381716678,0.0258199581297976
"51013102302","Census Tract 1023.02, Arlington County, Virginia",4275,3048,2210,374,336,1227,449,0,26,4275,556,583,141033,1783,629,11,75,271,1505,1372,4275,222,226,8,78,332,1531,0.0874853801169591,0.516959064327485,0.0785964912280702,0.287017543859649,0,0.105029239766082,0.00608187134502924,0.149707602339181,0.567567567567568,0.911627906976744,0,0.266432748538012,0.136374269005848
"51013102400","Census Tract 1024, Arlington County, Virginia",3349,2778,2077,383,274,571,311,0,0,3349,569,284,97578,1647,795,16,92,181,1517,1351,3349,69,73,137,101,73,1643,0.114362496267543,0.620185129889519,0.0818154673036727,0.170498656315318,0,0.0928635413556285,0,0.113466706479546,0.363522012578616,0.890573500329598,0,0.254702896386981,0.0848014332636608
"51013102500","Census Tract 1025, Arlington County, Virginia",5687,4596,3092,845,443,1091,997,18,0,5687,757,461,121500,1961,1902,46,65,162,2556,2470,5687,151,63,37,0,129,2685,0.148584490944259,0.54369614911201,0.0778969579743274,0.191841040970635,0.00316511341656409,0.1753121153508,0,0.0557411640583788,0.143533123028391,0.966353677621283,0,0.214172674520837,0.0810620713908915
"51013102600","Census Tract 1026, Arlington County, Virginia",3684,2547,1658,501,270,1137,731,0,0,3684,684,727,98281,1713,712,18,64,120,1475,1328,3684,88,59,100,96,210,1481,0.13599348534202,0.450054288816504,0.0732899022801303,0.308631921824104,0,0.19842562432139,0,0.134093376764387,0.283707865168539,0.900338983050847,0,0.383007600434311,0.197339847991314
"51013102701","Census Tract 1027.01, Arlington County, Virginia",4135,2816,533,1285,828,1319,542,20,0,4135,1056,1515,54482,1203,1481,111,98,301,1551,1143,4080,212,236,360,119,550,1653,0.310761789600967,0.128899637243047,0.200241837968561,0.318984280532044,0.00483675937122128,0.131076178960097,0,0.304166666666667,0.344361917623228,0.736943907156673,1,0.621765417170496,0.366384522370012
"51013102702","Census Tract 1027.02, Arlington County, Virginia",2062,1375,961,101,282,687,232,6,0,2062,387,289,122850,1583,312,28,52,27,821,730,2041,42,34,128,95,122,888,0.0489815712900097,0.466052376333657,0.136760426770126,0.333171677982541,0.002909796314258,0.112512124151309,0,0.189612934835865,0.342948717948718,0.889159561510353,0,0.327837051406402,0.14015518913676
"51013102801","Census Tract 1028.01, Arlington County, Virginia",8455,5527,2564,1163,1532,2928,1639,37,0,8455,1423,2023,96759,1760,2011,239,107,464,3594,3104,8443,372,152,239,36,544,3664,0.137551744529864,0.303252513305736,0.181194559432289,0.346303962152572,0.00437610881135423,0.193849793021881,0,0.141063602984721,0.402784684236698,0.863661658319421,1,0.407569485511532,0.23926670609107
"51013102802","Census Tract 1028.02, Arlington County, Virginia",1383,1128,962,75,43,255,243,0,0,1383,177,109,132292,2569,100,4,27,3,495,426,1383,8,4,0,27,94,525,0.0542299349240781,0.695589298626175,0.0310918293564714,0.184381778741866,0,0.175704989154013,0,0.0932754880694143,0.34,0.860606060606061,0,0.206796818510484,0.0788141720896602
"51013102901","Census Tract 1029.01, Arlington County, Virginia",2918,2566,2339,87,46,352,251,22,0,2918,268,83,117358,1938,560,11,33,52,1659,1626,2918,16,39,131,63,9,1742,0.0298149417409184,0.801576422206991,0.0157642220699109,0.120630568882796,0.00753941055517478,0.0860178204249486,0,0.0750514050719671,0.171428571428571,0.980108499095841,0,0.120287868403016,0.0284441398217957
"51013102902","Census Tract 1029.02, Arlington County, Virginia",4275,3533,2792,285,186,742,540,0,0,4275,425,701,108048,1991,1501,140,113,209,2421,2263,4263,26,55,0,72,134,2763,0.0666666666666667,0.653099415204678,0.0435087719298246,0.173567251461988,0,0.126315789473684,0,0.054421768707483,0.307794803464357,0.934737711689385,0,0.263391812865497,0.163976608187134
